invoice_no,revenue_date,customer_code,product_code,amount_krw,incoterms,order_no,order_date
SI2024-00423,2024-02-05,C007,P-C,62733896,FOB 도착지,SO2024-00423,2024-01-24
SI2024-00425,2024-02-05,C001,P-C,84682200,FOB 도착지,SO2024-00425,2024-01-22
SI2024-00429,2024-02-05,C005,P-C,83757864,FOB 도착지,SO2024-00429,2024-01-14
SI2024-00439,2024-02-05,C006,P-C,43984892,FOB 도착지,SO2024-00439,2024-01-11
SI2024-00437,2024-02-06,C008,P-C,47813574,FOB 도착지,SO2024-00437,2024-01-12
SI2024-00434,2024-02-07,C008,P-C,36750508,FOB 도착지,SO2024-00434,2024-01-20
SI2024-00218,2024-02-09,C010,P-B,114729184,FOB 도착지,SO2024-00218,2024-01-19
SI2024-00224,2024-02-09,C008,P-B,191303517,FOB 도착지,SO2024-00224,2024-01-18
SI2024-00427,2024-02-09,C006,P-C,36939888,FOB 도착지,SO2024-00427,2024-01-26
SI2024-00431,2024-02-09,C001,P-C,71413170,FOB 도착지,SO2024-00431,2024-01-18
SI2024-00027,2024-02-12,C004,P-A,112623659,FOB 도착지,SO2024-00027,2024-01-28
SI2024-00221,2024-02-12,C008,P-B,178760926,FOB 도착지,SO2024-00221,2024-01-20
SI2024-00222,2024-02-12,C008,P-B,186736874,FOB 도착지,SO2024-00222,2024-01-24
SI2024-00422,2024-02-12,C002,P-C,53075063,FOB 도착지,SO2024-00422,2024-01-20
SI2024-00436,2024-02-12,C002,P-C,43731580,FOB 도착지,SO2024-00436,2024-01-30
SI2024-00028,2024-02-13,C007,P-A,238511341,FOB 도착지,SO2024-00028,2024-01-21
SI2024-00033,2024-02-13,C004,P-A,167543425,FOB 도착지,SO2024-00033,2024-01-27
SI2024-00220,2024-02-13,C003,P-B,95186415,FOB 도착지,SO2024-00220,2024-01-21
SI2024-00225,2024-02-13,C007,P-B,170973530,FOB 도착지,SO2024-00225,2024-01-24
SI2024-00025,2024-02-14,C003,P-A,269270000,FOB 도착지,SO2024-00025,2024-01-28
SI2024-00214,2024-02-15,C006,P-B,164593041,FOB 도착지,SO2024-00214,2024-01-24
SI2024-00226,2024-02-16,C003,P-B,86685982,FOB 도착지,SO2024-00226,2024-01-23
SI2024-00023,2024-02-19,C001,P-A,199015233,FOB 도착지,SO2024-00023,2024-02-09
SI2024-00223,2024-02-19,C006,P-B,75592123,FOB 도착지,SO2024-00223,2024-01-29
SI2024-00430,2024-02-19,C004,P-C,33336910,FOB 도착지,SO2024-00430,2024-02-08
SI2024-00433,2024-02-19,C005,P-C,55643239,FOB 도착지,SO2024-00433,2024-02-04
SI2024-00440,2024-02-19,C002,P-C,76186990,FOB 도착지,SO2024-00440,2024-01-26
SI2024-00020,2024-02-20,C004,P-A,104881649,FOB 도착지,SO2024-00020,2024-02-09
SI2024-00030,2024-02-20,C009,P-A,259046824,FOB 도착지,SO2024-00030,2024-02-06
SI2024-00428,2024-02-20,C003,P-C,34651707,FOB 도착지,SO2024-00428,2024-01-28
SI2024-00435,2024-02-21,C004,P-C,86025970,FOB 도착지,SO2024-00435,2024-01-29
SI2024-00216,2024-02-23,C003,P-B,187163798,FOB 도착지,SO2024-00216,2024-02-13
SI2024-00438,2024-02-23,C010,P-C,81335090,FOB 도착지,SO2024-00438,2024-02-03
SI2024-00021,2024-02-26,C002,P-A,192181930,FOB 도착지,SO2024-00021,2024-02-07
SI2024-00024,2024-02-26,C006,P-A,142809254,FOB 도착지,SO2024-00024,2024-02-11
SI2024-00026,2024-02-26,C009,P-A,202700026,FOB 도착지,SO2024-00026,2024-02-14
SI2024-00213,2024-02-26,C007,P-B,71529040,FOB 도착지,SO2024-00213,2024-02-04
SI2024-00421,2024-02-26,C007,P-C,80249549,FOB 도착지,SO2024-00421,2024-02-06
SI2024-00424,2024-02-26,C004,P-C,26603224,FOB 도착지,SO2024-00424,2024-02-03
SI2024-00426,2024-02-26,C005,P-C,48753200,FOB 도착지,SO2024-00426,2024-02-02
SI2024-00022,2024-02-27,C002,P-A,257312811,FOB 도착지,SO2024-00022,2024-02-09
SI2024-00029,2024-02-28,C007,P-A,156021307,FOB 도착지,SO2024-00029,2024-02-13
SI2024-00037,2024-03-01,C009,P-A,86543453,FOB 도착지,SO2024-00037,2024-02-11
SI2024-00045,2024-03-01,C004,P-A,263295334,FOB 도착지,SO2024-00045,2024-02-08
SI2024-00233,2024-03-01,C009,P-B,82845668,FOB 도착지,SO2024-00233,2024-02-10
SI2024-00444,2024-03-01,C009,P-C,105063663,FOB 도착지,SO2024-00444,2024-02-15
SI2024-00237,2024-03-04,C002,P-B,97074249,FOB 도착지,SO2024-00237,2024-02-22
SI2024-00454,2024-03-04,C003,P-C,100924100,FOB 도착지,SO2024-00454,2024-02-12
SI2024-00458,2024-03-04,C004,P-C,109819837,FOB 도착지,SO2024-00458,2024-02-11
SI2024-00232,2024-03-05,C003,P-B,87705536,FOB 도착지,SO2024-00232,2024-02-09
SI2024-00240,2024-03-05,C003,P-B,73280027,FOB 도착지,SO2024-00240,2024-02-20
SI2024-00244,2024-03-06,C003,P-B,87577156,FOB 도착지,SO2024-00244,2024-02-20
SI2024-00443,2024-03-06,C004,P-C,85609227,FOB 도착지,SO2024-00443,2024-02-18
SI2024-00047,2024-03-07,C004,P-A,133317885,FOB 도착지,SO2024-00047,2024-02-14
SI2024-00050,2024-03-07,C001,P-A,153421228,FOB 도착지,SO2024-00050,2024-02-16
SI2024-00445,2024-03-07,C005,P-C,46094972,FOB 도착지,SO2024-00445,2024-02-22
SI2024-00039,2024-03-08,C002,P-A,122998156,FOB 도착지,SO2024-00039,2024-02-24
SI2024-00455,2024-03-08,C002,P-C,69553695,FOB 도착지,SO2024-00455,2024-02-19
SI2024-00035,2024-03-11,C001,P-A,232608417,FOB 도착지,SO2024-00035,2024-02-18
SI2024-00046,2024-03-11,C004,P-A,193504759,FOB 도착지,SO2024-00046,2024-02-15
SI2024-00228,2024-03-11,C005,P-B,67648014,FOB 도착지,SO2024-00228,2024-02-18
SI2024-00230,2024-03-11,C003,P-B,69520646,FOB 도착지,SO2024-00230,2024-02-15
SI2024-00231,2024-03-11,C001,P-B,118192761,FOB 도착지,SO2024-00231,2024-02-15
SI2024-00245,2024-03-11,C003,P-B,124492625,FOB 도착지,SO2024-00245,2024-03-01
SI2024-00246,2024-03-11,C009,P-B,104870555,FOB 도착지,SO2024-00246,2024-02-29
SI2024-00447,2024-03-11,C010,P-C,92583037,FOB 도착지,SO2024-00447,2024-02-27
SI2024-00456,2024-03-11,C008,P-C,90255786,FOB 도착지,SO2024-00456,2024-02-24
SI2024-00043,2024-03-12,C009,P-A,251681921,FOB 도착지,SO2024-00043,2024-02-18
SI2024-00049,2024-03-12,C006,P-A,232217900,FOB 도착지,SO2024-00049,2024-03-01
SI2024-00452,2024-03-12,C004,P-C,45082939,FOB 도착지,SO2024-00452,2024-02-21
SI2024-00441,2024-03-13,C008,P-C,110537535,FOB 도착지,SO2024-00441,2024-02-23
SI2024-00243,2024-03-14,C006,P-B,88163405,FOB 도착지,SO2024-00243,2024-02-25
SI2024-00042,2024-03-15,C002,P-A,192363752,FOB 도착지,SO2024-00042,2024-03-03
SI2024-00235,2024-03-15,C007,P-B,167388554,FOB 도착지,SO2024-00235,2024-02-24
SI2024-00449,2024-03-15,C002,P-C,41475917,FOB 도착지,SO2024-00449,2024-03-03
SI2024-00450,2024-03-15,C010,P-C,42278653,FOB 도착지,SO2024-00450,2024-03-02
SI2024-00040,2024-03-18,C007,P-A,92671461,FOB 도착지,SO2024-00040,2024-02-28
SI2024-00041,2024-03-18,C005,P-A,170252291,FOB 도착지,SO2024-00041,2024-02-23
SI2024-00052,2024-03-18,C007,P-A,207516229,FOB 도착지,SO2024-00052,2024-03-02
SI2024-00446,2024-03-18,C002,P-C,65576102,FOB 도착지,SO2024-00446,2024-02-28
SI2024-00457,2024-03-18,C005,P-C,56548608,FOB 도착지,SO2024-00457,2024-02-29
SI2024-00048,2024-03-19,C006,P-A,169799363,FOB 도착지,SO2024-00048,2024-03-09
SI2024-00448,2024-03-19,C003,P-C,89993167,FOB 도착지,SO2024-00448,2024-03-09
SI2024-00234,2024-03-20,C007,P-B,129150591,FOB 도착지,SO2024-00234,2024-03-10
SI2024-00241,2024-03-20,C001,P-B,142077061,FOB 도착지,SO2024-00241,2024-03-02
SI2024-00442,2024-03-20,C003,P-C,57093924,FOB 도착지,SO2024-00442,2024-03-02
SI2024-00036,2024-03-21,C005,P-A,132102085,FOB 도착지,SO2024-00036,2024-03-08
SI2024-00044,2024-03-21,C010,P-A,132639971,FOB 도착지,SO2024-00044,2024-03-05
SI2024-00051,2024-03-21,C001,P-A,193926943,FOB 도착지,SO2024-00051,2024-03-10
SI2024-00238,2024-03-21,C001,P-B,144109971,FOB 도착지,SO2024-00238,2024-03-07
SI2024-00451,2024-03-21,C008,P-C,101110024,FOB 도착지,SO2024-00451,2024-03-10
SI2024-00453,2024-03-21,C004,P-C,43398814,FOB 도착지,SO2024-00453,2024-03-11
SI2024-00034,2024-03-22,C004,P-A,94620005,FOB 도착지,SO2024-00034,2024-03-04
SI2024-00229,2024-03-22,C001,P-B,102235108,FOB 도착지,SO2024-00229,2024-02-26
SI2024-00242,2024-03-22,C008,P-B,121305611,FOB 도착지,SO2024-00242,2024-03-10
SI2024-00038,2024-03-25,C006,P-A,102518847,FOB 도착지,SO2024-00038,2024-03-14
SI2024-00239,2024-03-25,C004,P-B,115736080,FOB 도착지,SO2024-00239,2024-02-29
SI2024-00227,2024-03-28,C007,P-B,57513251,FOB 도착지,SO2024-00227,2024-03-15
SI2024-00236,2024-03-28,C009,P-B,124113131,FOB 도착지,SO2024-00236,2024-03-14
SI2024-00464,2024-04-01,C009,P-C,58949638,FOB 도착지,SO2024-00464,2024-03-19
SI2024-00053,2024-04-02,C004,P-A,82021154,FOB 도착지,SO2024-00053,2024-03-11
SI2024-00471,2024-04-02,C005,P-C,38940804,FOB 도착지,SO2024-00471,2024-03-21
SI2024-00256,2024-04-04,C009,P-B,152896144,FOB 도착지,SO2024-00256,2024-03-20
SI2024-00466,2024-04-04,C001,P-C,47728982,FOB 도착지,SO2024-00466,2024-03-14
SI2024-00063,2024-04-05,C002,P-A,228148920,FOB 도착지,SO2024-00063,2024-03-20
SI2024-00257,2024-04-05,C002,P-B,185552263,FOB 도착지,SO2024-00257,2024-03-19
SI2024-00258,2024-04-05,C010,P-B,171811209,FOB 도착지,SO2024-00258,2024-03-17
SI2024-00467,2024-04-05,C004,P-C,85768652,FOB 도착지,SO2024-00467,2024-03-21
SI2024-00469,2024-04-05,C010,P-C,101992309,FOB 도착지,SO2024-00469,2024-03-16
SI2024-00059,2024-04-08,C001,P-A,217389914,FOB 도착지,SO2024-00059,2024-03-28
SI2024-00060,2024-04-08,C002,P-A,201931892,FOB 도착지,SO2024-00060,2024-03-29
SI2024-00062,2024-04-08,C004,P-A,213067702,FOB 도착지,SO2024-00062,2024-03-17
SI2024-00250,2024-04-08,C005,P-B,183401466,FOB 도착지,SO2024-00250,2024-03-25
SI2024-00260,2024-04-08,C010,P-B,146152705,FOB 도착지,SO2024-00260,2024-03-27
SI2024-00474,2024-04-08,C003,P-C,59842116,FOB 도착지,SO2024-00474,2024-03-22
SI2024-00056,2024-04-09,C005,P-A,273278064,FOB 도착지,SO2024-00056,2024-03-27
SI2024-00468,2024-04-09,C004,P-C,98690014,FOB 도착지,SO2024-00468,2024-03-29
SI2024-00459,2024-04-10,C004,P-C,75773867,FOB 도착지,SO2024-00459,2024-03-20
SI2024-00055,2024-04-11,C007,P-A,113337129,FOB 도착지,SO2024-00055,2024-03-19
SI2024-00472,2024-04-11,C002,P-C,68542403,FOB 도착지,SO2024-00472,2024-03-31
SI2024-00251,2024-04-12,C005,P-B,74043072,FOB 도착지,SO2024-00251,2024-03-23
SI2024-00065,2024-04-15,C003,P-A,269378772,FOB 도착지,SO2024-00065,2024-03-25
SI2024-00254,2024-04-15,C001,P-B,121433617,FOB 도착지,SO2024-00254,2024-03-21
SI2024-00461,2024-04-15,C003,P-C,70819013,FOB 도착지,SO2024-00461,2024-04-03
SI2024-00465,2024-04-15,C004,P-C,116021897,FOB 도착지,SO2024-00465,2024-03-29
SI2024-00054,2024-04-17,C009,P-A,83425228,FOB 도착지,SO2024-00054,2024-03-30
SI2024-00252,2024-04-17,C004,P-B,84124769,FOB 도착지,SO2024-00252,2024-04-06
SI2024-00259,2024-04-17,C010,P-B,94061278,FOB 도착지,SO2024-00259,2024-04-01
SI2024-00057,2024-04-18,C008,P-A,179758719,FOB 도착지,SO2024-00057,2024-04-08
SI2024-00066,2024-04-18,C003,P-A,171125074,FOB 도착지,SO2024-00066,2024-04-04
SI2024-00261,2024-04-18,C007,P-B,177415165,FOB 도착지,SO2024-00261,2024-04-08
SI2024-00058,2024-04-22,C003,P-A,254951364,FOB 도착지,SO2024-00058,2024-04-01
SI2024-00247,2024-04-22,C007,P-B,169168258,FOB 도착지,SO2024-00247,2024-03-28
SI2024-00249,2024-04-22,C001,P-B,85853602,FOB 도착지,SO2024-00249,2024-04-09
SI2024-00462,2024-04-22,C001,P-C,114168926,FOB 도착지,SO2024-00462,2024-04-06
SI2024-00473,2024-04-22,C003,P-C,86727004,FOB 도착지,SO2024-00473,2024-03-31
SI2024-00064,2024-04-23,C008,P-A,229484695,FOB 도착지,SO2024-00064,2024-04-09
SI2024-00067,2024-04-23,C008,P-A,239297916,FOB 도착지,SO2024-00067,2024-03-29
SI2024-00253,2024-04-23,C006,P-B,91407326,FOB 도착지,SO2024-00253,2024-04-03
SI2024-00460,2024-04-23,C010,P-C,68494861,FOB 도착지,SO2024-00460,2024-04-07
SI2024-00061,2024-04-24,C006,P-A,108771640,FOB 도착지,SO2024-00061,2024-04-12
SI2024-00255,2024-04-25,C006,P-B,125930237,FOB 도착지,SO2024-00255,2024-04-08
SI2024-00475,2024-04-25,C010,P-C,90405193,FOB 도착지,SO2024-00475,2024-04-03
SI2024-00248,2024-04-26,C010,P-B,190748889,FOB 도착지,SO2024-00248,2024-04-15
SI2024-00068,2024-04-29,C008,P-A,215631817,FOB 도착지,SO2024-00068,2024-04-15
SI2024-00463,2024-04-29,C005,P-C,97230315,FOB 도착지,SO2024-00463,2024-04-07
SI2024-00470,2024-04-29,C007,P-C,39904006,FOB 도착지,SO2024-00470,2024-04-13
SI2024-00490,2024-05-01,C005,P-C,82405719,FOB 도착지,SO2024-00490,2024-04-12
SI2024-00277,2024-05-02,C001,P-B,85068982,FOB 도착지,SO2024-00277,2024-04-13
SI2024-00070,2024-05-03,C003,P-A,254108525,FOB 도착지,SO2024-00070,2024-04-21
SI2024-00276,2024-05-03,C003,P-B,136439301,FOB 도착지,SO2024-00276,2024-04-17
SI2024-00479,2024-05-03,C004,P-C,44380136,FOB 도착지,SO2024-00479,2024-04-09
SI2024-00484,2024-05-03,C001,P-C,110110476,FOB 도착지,SO2024-00484,2024-04-08
SI2024-00076,2024-05-06,C008,P-A,189579567,FOB 도착지,SO2024-00076,2024-04-12
SI2024-00482,2024-05-06,C001,P-C,132973631,FOB 도착지,SO2024-00482,2024-04-13
SI2024-00487,2024-05-06,C004,P-C,108547604,FOB 도착지,SO2024-00487,2024-04-11
SI2024-00071,2024-05-07,C007,P-A,175521085,FOB 도착지,SO2024-00071,2024-04-13
SI2024-00263,2024-05-08,C010,P-B,88892698,FOB 도착지,SO2024-00263,2024-04-27
SI2024-00080,2024-05-09,C001,P-A,107146737,FOB 도착지,SO2024-00080,2024-04-17
SI2024-00081,2024-05-09,C008,P-A,312192652,FOB 도착지,SO2024-00081,2024-04-17
SI2024-00488,2024-05-09,C005,P-C,127081601,FOB 도착지,SO2024-00488,2024-04-29
SI2024-00074,2024-05-10,C007,P-A,226740415,FOB 도착지,SO2024-00074,2024-04-28
SI2024-00265,2024-05-10,C006,P-B,189792062,FOB 도착지,SO2024-00265,2024-04-20
SI2024-00268,2024-05-10,C001,P-B,56874980,FOB 도착지,SO2024-00268,2024-04-18
SI2024-00079,2024-05-13,C009,P-A,171797973,FOB 도착지,SO2024-00079,2024-04-25
SI2024-00264,2024-05-13,C009,P-B,77981695,FOB 도착지,SO2024-00264,2024-05-02
SI2024-00480,2024-05-13,C010,P-C,76458346,FOB 도착지,SO2024-00480,2024-04-27
SI2024-00481,2024-05-13,C001,P-C,76858782,FOB 도착지,SO2024-00481,2024-04-21
SI2024-00485,2024-05-13,C009,P-C,90435062,FOB 도착지,SO2024-00485,2024-04-23
SI2024-00491,2024-05-13,C003,P-C,77591801,FOB 도착지,SO2024-00491,2024-04-26
SI2024-00083,2024-05-14,C008,P-A,117016123,FOB 도착지,SO2024-00083,2024-04-29
SI2024-00478,2024-05-14,C006,P-C,97066998,FOB 도착지,SO2024-00478,2024-05-03
SI2024-00486,2024-05-14,C010,P-C,97225613,FOB 도착지,SO2024-00486,2024-04-24
SI2024-00069,2024-05-15,C006,P-A,187328887,FOB 도착지,SO2024-00069,2024-05-01
SI2024-00073,2024-05-16,C008,P-A,220730633,FOB 도착지,SO2024-00073,2024-04-28
SI2024-00262,2024-05-16,C001,P-B,194065775,FOB 도착지,SO2024-00262,2024-04-28
SI2024-00273,2024-05-16,C005,P-B,80296523,FOB 도착지,SO2024-00273,2024-04-29
SI2024-00279,2024-05-16,C002,P-B,125540035,FOB 도착지,SO2024-00279,2024-05-03
SI2024-00266,2024-05-17,C002,P-B,70191445,FOB 도착지,SO2024-00266,2024-05-02
SI2024-00271,2024-05-17,C005,P-B,166772886,FOB 도착지,SO2024-00271,2024-04-28
SI2024-00477,2024-05-17,C008,P-C,57924306,FOB 도착지,SO2024-00477,2024-04-23
SI2024-00489,2024-05-17,C007,P-C,42741054,FOB 도착지,SO2024-00489,2024-04-25
SI2024-00077,2024-05-20,C002,P-A,199062780,FOB 도착지,SO2024-00077,2024-04-28
SI2024-00267,2024-05-20,C006,P-B,175228722,FOB 도착지,SO2024-00267,2024-04-30
SI2024-00278,2024-05-20,C010,P-B,79607258,FOB 도착지,SO2024-00278,2024-04-29
SI2024-00476,2024-05-20,C001,P-C,105622189,FOB 도착지,SO2024-00476,2024-05-03
SI2024-00483,2024-05-20,C004,P-C,42576682,FOB 도착지,SO2024-00483,2024-04-25
SI2024-00072,2024-05-21,C008,P-A,350630279,FOB 도착지,SO2024-00072,2024-05-09
SI2024-00272,2024-05-21,C002,P-B,176190073,FOB 도착지,SO2024-00272,2024-05-06
SI2024-00274,2024-05-22,C004,P-B,106037407,FOB 도착지,SO2024-00274,2024-05-10
SI2024-00270,2024-05-23,C005,P-B,141789364,FOB 도착지,SO2024-00270,2024-04-29
SI2024-00075,2024-05-27,C009,P-A,204223084,FOB 도착지,SO2024-00075,2024-05-16
SI2024-00078,2024-05-27,C007,P-A,173054885,FOB 도착지,SO2024-00078,2024-05-08
SI2024-00269,2024-05-27,C001,P-B,110997175,FOB 도착지,SO2024-00269,2024-05-09
SI2024-00275,2024-05-27,C005,P-B,69233619,FOB 도착지,SO2024-00275,2024-05-05
SI2024-00082,2024-05-28,C010,P-A,306866375,FOB 도착지,SO2024-00082,2024-05-06
SI2024-00084,2024-06-03,C008,P-A,232807872,FOB 도착지,SO2024-00084,2024-05-22
SI2024-00090,2024-06-03,C006,P-A,270111463,FOB 도착지,SO2024-00090,2024-05-17
SI2024-00281,2024-06-03,C010,P-B,121083399,FOB 도착지,SO2024-00281,2024-05-19
SI2024-00286,2024-06-03,C010,P-B,175388669,FOB 도착지,SO2024-00286,2024-05-12
SI2024-00292,2024-06-03,C010,P-B,172502492,FOB 도착지,SO2024-00292,2024-05-22
SI2024-00296,2024-06-03,C001,P-B,59760661,FOB 도착지,SO2024-00296,2024-05-23
SI2024-00093,2024-06-04,C001,P-A,232321569,FOB 도착지,SO2024-00093,2024-05-15
SI2024-00500,2024-06-04,C002,P-C,89314807,FOB 도착지,SO2024-00500,2024-05-10
SI2024-00505,2024-06-05,C008,P-C,108333391,FOB 도착지,SO2024-00505,2024-05-26
SI2024-00280,2024-06-06,C006,P-B,162492106,FOB 도착지,SO2024-00280,2024-05-20
SI2024-00087,2024-06-10,C004,P-A,296460127,FOB 도착지,SO2024-00087,2024-05-27
SI2024-00088,2024-06-10,C006,P-A,171022345,FOB 도착지,SO2024-00088,2024-05-21
SI2024-00092,2024-06-10,C009,P-A,131202722,FOB 도착지,SO2024-00092,2024-05-22
SI2024-00493,2024-06-10,C003,P-C,105744058,FOB 도착지,SO2024-00493,2024-05-21
SI2024-00497,2024-06-10,C010,P-C,36056668,FOB 도착지,SO2024-00497,2024-05-24
SI2024-00498,2024-06-10,C002,P-C,91389027,FOB 도착지,SO2024-00498,2024-05-23
SI2024-00501,2024-06-10,C006,P-C,72908982,FOB 도착지,SO2024-00501,2024-05-19
SI2024-00504,2024-06-10,C009,P-C,113707053,FOB 도착지,SO2024-00504,2024-05-24
SI2024-00097,2024-06-11,C002,P-A,257915743,FOB 도착지,SO2024-00097,2024-05-26
SI2024-00287,2024-06-11,C008,P-B,180097053,FOB 도착지,SO2024-00287,2024-05-18
SI2024-00495,2024-06-11,C003,P-C,59724896,FOB 도착지,SO2024-00495,2024-05-24
SI2024-00507,2024-06-11,C003,P-C,65869268,FOB 도착지,SO2024-00507,2024-05-27
SI2024-00091,2024-06-13,C009,P-A,220794573,FOB 도착지,SO2024-00091,2024-05-22
SI2024-00098,2024-06-13,C001,P-A,108637472,FOB 도착지,SO2024-00098,2024-06-01
SI2024-00094,2024-06-17,C005,P-A,135254964,FOB 도착지,SO2024-00094,2024-06-06
SI2024-00283,2024-06-17,C004,P-B,87674561,FOB 도착지,SO2024-00283,2024-06-07
SI2024-00290,2024-06-17,C004,P-B,165429928,FOB 도착지,SO2024-00290,2024-05-25
SI2024-00291,2024-06-17,C007,P-B,101367763,FOB 도착지,SO2024-00291,2024-06-07
SI2024-00293,2024-06-17,C007,P-B,89002416,FOB 도착지,SO2024-00293,2024-05-28
