po_no,po_date,item_description,amount_krw,posted_account_code,posted_account_name,remark
PO2024-00048,2024-04-24,소모품 - 절삭공구,875000000,616,소모품비(제조),
PO2024-00057,2024-05-03,소모품 - 연마석,199000000,616,소모품비(제조),
PO2024-00052,2024-05-07,부재료 - 절삭유,809000000,120,원재료,
PO2024-00053,2024-05-07,소모품 - 절삭공구,224000000,616,소모품비(제조),
PO2024-00062,2024-05-08,외주가공 - 열처리,856000000,615,외주가공비(제조),
PO2024-00055,2024-05-10,원재료 - 알루미늄 빌렛,701000000,120,원재료,
PO2024-00050,2024-05-13,원재료 - 베어링강 STB2,868000000,120,원재료,
PO2024-00056,2024-05-13,외주가공 - 표면처리,255000000,615,외주가공비(제조),
PO2024-00058,2024-05-13,원재료 - 베어링강 STB2,595000000,120,원재료,
PO2024-00051,2024-05-14,부재료 - 절삭유,274000000,120,원재료,
PO2024-00054,2024-05-15,외주가공 - 열처리,204000000,615,외주가공비(제조),
PO2024-00060,2024-05-16,원재료 - 베어링강 STB2,979000000,120,원재료,
PO2024-00147,2024-05-16,금형 신규 제작 (P-C 하우징 3종),620000000,614,수선비(제조),내용연수 5년 이상 / 취득 후 생산능력 증가 예상
PO2024-00061,2024-05-20,부재료 - 절삭유,213000000,120,원재료,
PO2024-00059,2024-05-24,소모품 - 절삭공구,745000000,616,소모품비(제조),
PO2024-00063,2024-05-27,원재료 - 특수강 SCM440,477000000,120,원재료,
PO2024-00070,2024-06-03,소모품 - 절삭공구,748000000,616,소모품비(제조),
PO2024-00068,2024-06-05,외주가공 - 표면처리,352000000,615,외주가공비(제조),
PO2024-00073,2024-06-05,원재료 - 특수강 SCM440,837000000,120,원재료,
PO2024-00074,2024-06-10,외주가공 - 열처리,870000000,615,외주가공비(제조),
PO2024-00075,2024-06-10,외주가공 - 표면처리,121000000,615,외주가공비(제조),
PO2024-00069,2024-06-20,원재료 - 베어링강 STB2,813000000,120,원재료,
PO2024-00065,2024-06-21,외주가공 - 열처리,567000000,615,외주가공비(제조),
PO2024-00076,2024-06-21,원재료 - 특수강 SCM440,135000000,120,원재료,
PO2024-00071,2024-06-24,원재료 - 특수강 SCM440,602000000,120,원재료,
PO2024-00072,2024-06-24,원재료 - 특수강 SCM440,401000000,120,원재료,
PO2024-00064,2024-06-26,부재료 - 절삭유,312000000,120,원재료,
PO2024-00066,2024-06-26,부재료 - 절삭유,823000000,120,원재료,
PO2024-00067,2024-06-26,원재료 - 베어링강 STB2,484000000,120,원재료,
PO2024-00078,2024-07-03,소모품 - 절삭공구,124000000,616,소모품비(제조),
PO2024-00081,2024-07-08,원재료 - 베어링강 STB2,767000000,120,원재료,
PO2024-00079,2024-07-12,소모품 - 절삭공구,130000000,616,소모품비(제조),
PO2024-00084,2024-07-15,원재료 - 특수강 SCM440,860000000,120,원재료,
PO2024-00086,2024-07-16,외주가공 - 열처리,377000000,615,외주가공비(제조),
PO2024-00148,2024-07-17,프레스 설비 증설 (600T 1기),480000000,614,수선비(제조),내용연수 5년 이상 / 취득 후 생산능력 증가 예상
PO2024-00080,2024-07-18,원재료 - 특수강 SCM440,558000000,120,원재료,
PO2024-00082,2024-07-19,부재료 - 절삭유,929000000,120,원재료,
PO2024-00085,2024-07-22,부재료 - 절삭유,748000000,120,원재료,
PO2024-00083,2024-07-25,원재료 - 베어링강 STB2,226000000,120,원재료,
PO2024-00087,2024-07-25,원재료 - 특수강 SCM440,404000000,120,원재료,
PO2024-00077,2024-07-26,외주가공 - 열처리,619000000,615,외주가공비(제조),
PO2024-00099,2024-08-06,원재료 - 특수강 SCM440,140000000,120,원재료,
PO2024-00096,2024-08-08,외주가공 - 표면처리,659000000,615,외주가공비(제조),
PO2024-00100,2024-08-08,소모품 - 연마석,715000000,616,소모품비(제조),
PO2024-00091,2024-08-12,원재료 - 알루미늄 빌렛,242000000,120,원재료,
PO2024-00094,2024-08-16,원재료 - 베어링강 STB2,837000000,120,원재료,
PO2024-00095,2024-08-16,부재료 - 절삭유,213000000,120,원재료,
PO2024-00101,2024-08-19,외주가공 - 표면처리,152000000,615,외주가공비(제조),
PO2024-00089,2024-08-21,소모품 - 연마석,268000000,616,소모품비(제조),
PO2024-00098,2024-08-21,원재료 - 특수강 SCM440,931000000,120,원재료,
PO2024-00093,2024-08-22,원재료 - 베어링강 STB2,916000000,120,원재료,
PO2024-00088,2024-08-26,원재료 - 베어링강 STB2,788000000,120,원재료,
PO2024-00090,2024-08-27,소모품 - 연마석,358000000,616,소모품비(제조),
PO2024-00092,2024-08-27,원재료 - 알루미늄 빌렛,720000000,120,원재료,
PO2024-00097,2024-08-27,외주가공 - 표면처리,494000000,615,외주가공비(제조),
PO2024-00103,2024-09-02,부재료 - 절삭유,331000000,120,원재료,
PO2024-00107,2024-09-02,외주가공 - 표면처리,205000000,615,외주가공비(제조),
PO2024-00111,2024-09-09,부재료 - 절삭유,874000000,120,원재료,
PO2024-00110,2024-09-10,소모품 - 절삭공구,259000000,616,소모품비(제조),
PO2024-00105,2024-09-12,원재료 - 알루미늄 빌렛,456000000,120,원재료,
PO2024-00149,2024-09-16,자동화 로봇 추가 도입 (2축 1기),220000000,614,수선비(제조),내용연수 5년 이상 / 취득 후 생산능력 증가 예상
PO2024-00108,2024-09-17,소모품 - 절삭공구,717000000,616,소모품비(제조),
PO2024-00102,2024-09-23,소모품 - 연마석,133000000,616,소모품비(제조),
PO2024-00106,2024-09-23,원재료 - 알루미늄 빌렛,719000000,120,원재료,
PO2024-00104,2024-09-24,원재료 - 특수강 SCM440,284000000,120,원재료,
PO2024-00109,2024-09-24,외주가공 - 표면처리,619000000,615,외주가공비(제조),
PO2024-00121,2024-10-02,외주가공 - 표면처리,232000000,615,외주가공비(제조),
PO2024-00119,2024-10-07,원재료 - 알루미늄 빌렛,400000000,120,원재료,
PO2024-00112,2024-10-10,외주가공 - 열처리,474000000,615,외주가공비(제조),
PO2024-00116,2024-10-11,소모품 - 연마석,370000000,616,소모품비(제조),
PO2024-00118,2024-10-14,원재료 - 베어링강 STB2,146000000,120,원재료,
PO2024-00123,2024-10-14,부재료 - 절삭유,423000000,120,원재료,
PO2024-00115,2024-10-16,외주가공 - 열처리,248000000,615,외주가공비(제조),
PO2024-00122,2024-10-16,원재료 - 베어링강 STB2,256000000,120,원재료,
PO2024-00113,2024-10-18,원재료 - 알루미늄 빌렛,301000000,120,원재료,
PO2024-00114,2024-10-21,외주가공 - 열처리,598000000,615,외주가공비(제조),
PO2024-00117,2024-10-21,원재료 - 베어링강 STB2,402000000,120,원재료,
PO2024-00120,2024-10-21,소모품 - 연마석,154000000,616,소모품비(제조),
PO2024-00124,2024-11-04,소모품 - 절삭공구,460000000,616,소모품비(제조),
PO2024-00130,2024-11-04,소모품 - 연마석,523000000,616,소모품비(제조),
PO2024-00126,2024-11-11,원재료 - 특수강 SCM440,145000000,120,원재료,
PO2024-00150,2024-11-11,P-C 라인 레이아웃 변경 공사,130000000,614,수선비(제조),내용연수 5년 이상 / 취득 후 생산능력 증가 예상
PO2024-00128,2024-11-13,소모품 - 연마석,302000000,616,소모품비(제조),
PO2024-00133,2024-11-14,원재료 - 베어링강 STB2,126000000,120,원재료,
PO2024-00125,2024-11-18,원재료 - 알루미늄 빌렛,924000000,120,원재료,
PO2024-00129,2024-11-19,원재료 - 특수강 SCM440,726000000,120,원재료,
PO2024-00134,2024-11-25,원재료 - 특수강 SCM440,684000000,120,원재료,
PO2024-00132,2024-11-26,소모품 - 연마석,449000000,616,소모품비(제조),
PO2024-00127,2024-11-27,부재료 - 절삭유,579000000,120,원재료,
PO2024-00131,2024-11-27,소모품 - 절삭공구,298000000,616,소모품비(제조),
PO2024-00144,2024-12-04,부재료 - 절삭유,484000000,120,원재료,
PO2024-00135,2024-12-06,소모품 - 절삭공구,373000000,616,소모품비(제조),
PO2024-00137,2024-12-09,소모품 - 연마석,849000000,616,소모품비(제조),
PO2024-00138,2024-12-10,원재료 - 알루미늄 빌렛,759000000,120,원재료,
PO2024-00145,2024-12-12,원재료 - 베어링강 STB2,355000000,120,원재료,
PO2024-00139,2024-12-23,외주가공 - 표면처리,147000000,615,외주가공비(제조),
PO2024-00140,2024-12-23,소모품 - 연마석,837000000,616,소모품비(제조),
PO2024-00143,2024-12-23,원재료 - 알루미늄 빌렛,915000000,120,원재료,
PO2024-00146,2024-12-23,원재료 - 특수강 SCM440,529000000,120,원재료,
PO2024-00136,2024-12-25,외주가공 - 열처리,165000000,615,외주가공비(제조),
PO2024-00141,2024-12-27,원재료 - 베어링강 STB2,213000000,120,원재료,
PO2024-00142,2024-12-27,소모품 - 연마석,862000000,616,소모품비(제조),
