shipment_no,invoice_no,actual_ship_date,arrival_date,warehouse
SH2024-00069,SI2024-00069,2024-05-14,2024-05-15,물류센터
SH2024-00070,SI2024-00070,2024-05-03,2024-05-06,1공장창고
SH2024-00071,SI2024-00071,2024-05-07,2024-05-08,1공장창고
SH2024-00072,SI2024-00072,2024-05-20,2024-05-22,1공장창고
SH2024-00073,SI2024-00073,2024-05-16,2024-05-17,2공장창고
SH2024-00074,SI2024-00074,2024-05-10,2024-05-13,2공장창고
SH2024-00075,SI2024-00075,2024-05-27,2024-05-29,물류센터
SH2024-00076,SI2024-00076,2024-05-06,2024-05-07,1공장창고
SH2024-00077,SI2024-00077,2024-05-20,2024-05-21,1공장창고
SH2024-00078,SI2024-00078,2024-05-27,2024-05-29,1공장창고
SH2024-00079,SI2024-00079,2024-05-13,2024-05-15,2공장창고
SH2024-00080,SI2024-00080,2024-05-09,2024-05-13,2공장창고
SH2024-00081,SI2024-00081,2024-05-08,2024-05-09,물류센터
SH2024-00082,SI2024-00082,2024-05-28,2024-05-29,1공장창고
SH2024-00083,SI2024-00083,2024-05-13,2024-05-14,1공장창고
SH2024-00084,SI2024-00084,2024-06-03,2024-06-05,2공장창고
SH2024-00085,SI2024-00085,2024-06-26,2024-06-27,1공장창고
SH2024-00086,SI2024-00086,2024-06-28,2024-07-01,물류센터
SH2024-00087,SI2024-00087,2024-06-10,2024-06-11,2공장창고
SH2024-00088,SI2024-00088,2024-06-10,2024-06-11,물류센터
SH2024-00089,SI2024-00089,2024-06-24,2024-06-25,물류센터
SH2024-00090,SI2024-00090,2024-06-03,2024-06-04,물류센터
SH2024-00091,SI2024-00091,2024-06-12,2024-06-13,1공장창고
SH2024-00092,SI2024-00092,2024-06-10,2024-06-11,1공장창고
SH2024-00093,SI2024-00093,2024-06-04,2024-06-06,1공장창고
SH2024-00094,SI2024-00094,2024-06-17,2024-06-18,물류센터
SH2024-00095,SI2024-00095,2024-06-25,2024-06-27,1공장창고
SH2024-00096,SI2024-00096,2024-06-20,2024-06-21,1공장창고
SH2024-00097,SI2024-00097,2024-06-11,2024-06-12,물류센터
SH2024-00098,SI2024-00098,2024-06-13,2024-06-14,2공장창고
SH2024-00099,SI2024-00099,2024-07-10,2024-07-12,1공장창고
SH2024-00100,SI2024-00100,2024-07-29,2024-07-30,1공장창고
SH2024-00101,SI2024-00101,2024-07-08,2024-07-10,1공장창고
SH2024-00102,SI2024-00102,2024-07-08,2024-07-09,2공장창고
SH2024-00103,SI2024-00103,2024-07-15,2024-07-16,1공장창고
SH2024-00104,SI2024-00104,2024-07-05,2024-07-08,2공장창고
SH2024-00105,SI2024-00105,2024-07-15,2024-07-16,물류센터
SH2024-00106,SI2024-00106,2024-07-10,2024-07-11,2공장창고
SH2024-00107,SI2024-00107,2024-07-08,2024-07-09,물류센터
SH2024-00108,SI2024-00108,2024-07-03,2024-07-04,1공장창고
SH2024-00109,SI2024-00109,2024-07-08,2024-07-10,1공장창고
SH2024-00110,SI2024-00110,2024-07-08,2024-07-09,물류센터
SH2024-00111,SI2024-00111,2024-07-22,2024-07-23,1공장창고
SH2024-00112,SI2024-00112,2024-07-15,2024-07-16,1공장창고
SH2024-00113,SI2024-00113,2024-07-18,2024-07-22,물류센터
SH2024-00114,SI2024-00114,2024-08-15,2024-08-16,1공장창고
SH2024-00115,SI2024-00115,2024-08-05,2024-08-07,물류센터
SH2024-00116,SI2024-00116,2024-08-22,2024-08-26,2공장창고
SH2024-00117,SI2024-00117,2024-08-22,2024-08-23,2공장창고
SH2024-00118,SI2024-00118,2024-08-05,2024-08-07,2공장창고
SH2024-00119,SI2024-00119,2024-08-20,2024-08-21,2공장창고
SH2024-00120,SI2024-00120,2024-08-01,2024-08-05,1공장창고
SH2024-00121,SI2024-00121,2024-08-16,2024-08-19,물류센터
SH2024-00122,SI2024-00122,2024-08-14,2024-08-15,물류센터
SH2024-00123,SI2024-00123,2024-08-19,2024-08-20,1공장창고
SH2024-00124,SI2024-00124,2024-08-20,2024-08-22,1공장창고
SH2024-00125,SI2024-00125,2024-08-05,2024-08-06,1공장창고
SH2024-00126,SI2024-00126,2024-08-05,2024-08-06,1공장창고
SH2024-00127,SI2024-00127,2024-08-09,2024-08-12,물류센터
SH2024-00128,SI2024-00128,2024-08-12,2024-08-14,2공장창고
SH2024-00129,SI2024-00129,2024-08-07,2024-08-09,2공장창고
SH2024-00130,SI2024-00130,2024-08-27,2024-08-28,1공장창고
SH2024-00131,SI2024-00131,2024-08-05,2024-08-06,물류센터
SH2024-00132,SI2024-00132,2024-08-14,2024-08-15,물류센터
SH2024-00133,SI2024-00133,2024-08-06,2024-08-08,2공장창고
SH2024-00134,SI2024-00134,2024-09-20,2024-09-23,1공장창고
SH2024-00135,SI2024-00135,2024-09-12,2024-09-13,2공장창고
SH2024-00136,SI2024-00136,2024-09-12,2024-09-13,1공장창고
SH2024-00137,SI2024-00137,2024-09-12,2024-09-13,물류센터
SH2024-00138,SI2024-00138,2024-09-18,2024-09-19,1공장창고
SH2024-00139,SI2024-00139,2024-09-19,2024-09-20,2공장창고
SH2024-00140,SI2024-00140,2024-09-24,2024-09-26,1공장창고
SH2024-00141,SI2024-00141,2024-09-02,2024-09-04,2공장창고
SH2024-00142,SI2024-00142,2024-09-13,2024-09-16,1공장창고
SH2024-00143,SI2024-00143,2024-09-04,2024-09-06,물류센터
SH2024-00144,SI2024-00144,2024-09-16,2024-09-17,2공장창고
SH2024-00145,SI2024-00145,2024-09-25,2024-09-26,2공장창고
SH2024-00146,SI2024-00146,2024-09-04,2024-09-06,1공장창고
SH2024-00147,SI2024-00147,2024-09-02,2024-09-04,1공장창고
SH2024-00148,SI2024-00148,2024-09-11,2024-09-12,2공장창고
SH2024-00149,SI2024-00149,2024-09-17,2024-09-18,1공장창고
SH2024-00150,SI2024-00150,2024-09-05,2024-09-09,물류센터
SH2024-00151,SI2024-00151,2024-09-23,2024-09-25,물류센터
SH2024-00152,SI2024-00152,2024-10-28,2024-10-30,2공장창고
SH2024-00153,SI2024-00153,2024-10-07,2024-10-09,2공장창고
SH2024-00154,SI2024-00154,2024-10-28,2024-10-29,물류센터
SH2024-00155,SI2024-00155,2024-10-18,2024-10-21,1공장창고
SH2024-00156,SI2024-00156,2024-10-14,2024-10-15,2공장창고
SH2024-00157,SI2024-00157,2024-10-10,2024-10-14,1공장창고
SH2024-00158,SI2024-00158,2024-10-25,2024-10-28,1공장창고
SH2024-00159,SI2024-00159,2024-10-14,2024-10-15,1공장창고
SH2024-00160,SI2024-00160,2024-10-08,2024-10-09,2공장창고
SH2024-00161,SI2024-00161,2024-10-03,2024-10-04,물류센터
SH2024-00162,SI2024-00162,2024-10-07,2024-10-09,물류센터
SH2024-00163,SI2024-00163,2024-10-01,2024-10-02,물류센터
SH2024-00164,SI2024-00164,2024-10-28,2024-10-29,물류센터
SH2024-00165,SI2024-00165,2024-10-23,2024-10-25,1공장창고
SH2024-00166,SI2024-00166,2024-10-03,2024-10-07,1공장창고
SH2024-00167,SI2024-00167,2024-11-11,2024-11-12,2공장창고
SH2024-00168,SI2024-00168,2024-11-04,2024-11-05,1공장창고
SH2024-00169,SI2024-00169,2024-11-11,2024-11-12,물류센터
SH2024-00170,SI2024-00170,2024-10-31,2024-11-01,물류센터
SH2024-00171,SI2024-00171,2024-11-13,2024-11-14,1공장창고
SH2024-00172,SI2024-00172,2024-11-11,2024-11-12,2공장창고
SH2024-00173,SI2024-00173,2024-11-04,2024-11-06,물류센터
SH2024-00174,SI2024-00174,2024-11-26,2024-11-28,2공장창고
SH2024-00175,SI2024-00175,2024-11-04,2024-11-05,물류센터
SH2024-00176,SI2024-00176,2024-11-01,2024-11-04,2공장창고
SH2024-00177,SI2024-00177,2024-11-04,2024-11-05,1공장창고
SH2024-00178,SI2024-00178,2024-11-11,2024-11-12,1공장창고
SH2024-00179,SI2024-00179,2024-11-11,2024-11-12,물류센터
SH2024-00180,SI2024-00180,2024-11-11,2024-11-12,1공장창고
SH2024-00181,SI2024-00181,2024-11-01,2024-11-04,1공장창고
SH2024-00182,SI2024-00182,2024-11-04,2024-11-06,물류센터
SH2024-00183,SI2024-00183,2024-11-20,2024-11-21,물류센터
SH2024-00184,SI2024-00184,2024-11-04,2024-11-05,물류센터
SH2024-00185,SI2024-00185,2024-12-09,2024-12-10,1공장창고
SH2024-00186,SI2024-00186,2024-12-09,2024-12-10,1공장창고
SH2024-00187,SI2024-00187,2024-12-05,2024-12-09,물류센터
SH2024-00188,SI2024-00188,2024-12-25,2024-12-26,2공장창고
SH2024-00189,SI2024-00189,2024-12-23,2024-12-24,1공장창고
SH2024-00190,SI2024-00190,2024-12-09,2024-12-11,1공장창고
SH2024-00191,SI2024-00191,2024-12-12,2024-12-16,물류센터
SH2024-00192,SI2024-00192,2024-12-23,2024-12-24,2공장창고
SH2024-00193,SI2024-00193,2024-12-16,2024-12-17,2공장창고
SH2024-00194,SI2024-00194,2024-12-16,2024-12-17,1공장창고
SH2024-00195,SI2024-00195,2024-12-24,2024-12-26,물류센터
SH2024-00196,SI2024-00196,2024-12-09,2024-12-10,2공장창고
SH2024-00197,SI2024-00197,2024-12-02,2024-12-04,물류센터
SH2024-00198,SI2024-00198,2024-12-10,2024-12-11,물류센터
SH2024-00199,SI2024-00199,2024-01-16,2024-01-17,2공장창고
SH2024-00200,SI2024-00200,2024-01-18,2024-01-22,2공장창고
SH2024-00201,SI2024-00201,2024-01-02,2024-01-04,1공장창고
SH2024-00202,SI2024-00202,2024-01-19,2024-01-22,2공장창고
SH2024-00203,SI2024-00203,2024-01-16,2024-01-17,1공장창고
SH2024-00204,SI2024-00204,2024-01-15,2024-01-16,1공장창고
SH2024-00205,SI2024-00205,2024-01-08,2024-01-10,물류센터
SH2024-00206,SI2024-00206,2024-01-01,2024-01-03,물류센터
SH2024-00207,SI2024-00207,2024-01-01,2024-01-03,물류센터
SH2024-00208,SI2024-00208,2024-01-22,2024-01-24,2공장창고
SH2024-00209,SI2024-00209,2024-01-15,2024-01-17,2공장창고
SH2024-00210,SI2024-00210,2024-01-10,2024-01-11,2공장창고
SH2024-00211,SI2024-00211,2024-01-22,2024-01-23,2공장창고
SH2024-00212,SI2024-00212,2024-01-04,2024-01-05,물류센터
SH2024-00213,SI2024-00213,2024-02-26,2024-02-28,2공장창고
SH2024-00214,SI2024-00214,2024-02-15,2024-02-16,물류센터
SH2024-00215,SI2024-00215,2024-02-05,2024-02-07,1공장창고
SH2024-00216,SI2024-00216,2024-02-23,2024-02-26,물류센터
SH2024-00217,SI2024-00217,2024-02-05,2024-02-06,1공장창고
SH2024-00218,SI2024-00218,2024-02-09,2024-02-12,1공장창고
SH2024-00219,SI2024-00219,2024-01-31,2024-02-01,2공장창고
SH2024-00220,SI2024-00220,2024-02-13,2024-02-14,1공장창고
SH2024-00221,SI2024-00221,2024-02-12,2024-02-14,1공장창고
SH2024-00222,SI2024-00222,2024-02-12,2024-02-13,1공장창고
SH2024-00223,SI2024-00223,2024-02-19,2024-02-21,물류센터
SH2024-00224,SI2024-00224,2024-02-09,2024-02-12,물류센터
SH2024-00225,SI2024-00225,2024-02-13,2024-02-14,1공장창고
SH2024-00226,SI2024-00226,2024-02-16,2024-02-19,2공장창고
SH2024-00227,SI2024-00227,2024-03-28,2024-04-01,1공장창고
SH2024-00228,SI2024-00228,2024-03-11,2024-03-12,2공장창고
SH2024-00229,SI2024-00229,2024-03-21,2024-03-22,2공장창고
SH2024-00230,SI2024-00230,2024-03-11,2024-03-12,2공장창고
SH2024-00231,SI2024-00231,2024-03-11,2024-03-13,2공장창고
SH2024-00232,SI2024-00232,2024-03-05,2024-03-06,물류센터
SH2024-00233,SI2024-00233,2024-03-01,2024-03-04,물류센터
SH2024-00234,SI2024-00234,2024-03-20,2024-03-21,물류센터
SH2024-00235,SI2024-00235,2024-03-14,2024-03-18,2공장창고
SH2024-00236,SI2024-00236,2024-03-28,2024-04-01,2공장창고
SH2024-00237,SI2024-00237,2024-03-04,2024-03-06,물류센터
SH2024-00238,SI2024-00238,2024-03-21,2024-03-22,물류센터
SH2024-00239,SI2024-00239,2024-03-25,2024-03-26,2공장창고
SH2024-00240,SI2024-00240,2024-03-04,2024-03-05,2공장창고
SH2024-00241,SI2024-00241,2024-03-20,2024-03-21,1공장창고
SH2024-00242,SI2024-00242,2024-03-22,2024-03-25,물류센터
SH2024-00243,SI2024-00243,2024-03-14,2024-03-18,1공장창고
SH2024-00244,SI2024-00244,2024-03-06,2024-03-08,2공장창고
SH2024-00245,SI2024-00245,2024-03-11,2024-03-12,1공장창고
SH2024-00246,SI2024-00246,2024-03-11,2024-03-12,1공장창고
SH2024-00247,SI2024-00247,2024-04-22,2024-04-23,2공장창고
SH2024-00248,SI2024-00248,2024-04-26,2024-04-29,1공장창고
SH2024-00249,SI2024-00249,2024-04-22,2024-04-23,1공장창고
SH2024-00250,SI2024-00250,2024-04-08,2024-04-09,1공장창고
SH2024-00251,SI2024-00251,2024-04-12,2024-04-15,물류센터
SH2024-00252,SI2024-00252,2024-04-16,2024-04-18,물류센터
SH2024-00253,SI2024-00253,2024-04-23,2024-04-25,2공장창고
SH2024-00254,SI2024-00254,2024-04-15,2024-04-17,물류센터
SH2024-00255,SI2024-00255,2024-04-25,2024-04-29,1공장창고
SH2024-00256,SI2024-00256,2024-04-03,2024-04-04,물류센터
SH2024-00257,SI2024-00257,2024-04-05,2024-04-08,물류센터
SH2024-00258,SI2024-00258,2024-04-04,2024-04-05,1공장창고
SH2024-00259,SI2024-00259,2024-04-16,2024-04-18,물류센터
SH2024-00260,SI2024-00260,2024-04-08,2024-04-10,물류센터
SH2024-00261,SI2024-00261,2024-04-18,2024-04-19,물류센터
SH2024-00262,SI2024-00262,2024-05-15,2024-05-16,물류센터
SH2024-00263,SI2024-00263,2024-05-08,2024-05-09,물류센터
SH2024-00264,SI2024-00264,2024-05-13,2024-05-14,1공장창고
SH2024-00265,SI2024-00265,2024-05-10,2024-05-13,1공장창고
SH2024-00266,SI2024-00266,2024-05-16,2024-05-20,물류센터
SH2024-00267,SI2024-00267,2024-05-20,2024-05-22,2공장창고
SH2024-00268,SI2024-00268,2024-05-10,2024-05-13,2공장창고
SH2024-00269,SI2024-00269,2024-05-27,2024-05-29,2공장창고
SH2024-00270,SI2024-00270,2024-05-23,2024-05-27,1공장창고
SH2024-00271,SI2024-00271,2024-05-16,2024-05-20,물류센터
SH2024-00272,SI2024-00272,2024-05-21,2024-05-22,2공장창고
SH2024-00273,SI2024-00273,2024-05-16,2024-05-17,1공장창고
SH2024-00274,SI2024-00274,2024-05-21,2024-05-22,2공장창고
SH2024-00275,SI2024-00275,2024-05-27,2024-05-29,2공장창고
SH2024-00276,SI2024-00276,2024-05-03,2024-05-06,2공장창고
SH2024-00277,SI2024-00277,2024-05-01,2024-05-02,2공장창고
SH2024-00278,SI2024-00278,2024-05-20,2024-05-21,2공장창고
SH2024-00279,SI2024-00279,2024-05-16,2024-05-17,2공장창고
SH2024-00280,SI2024-00280,2024-06-06,2024-06-07,2공장창고
SH2024-00281,SI2024-00281,2024-06-03,2024-06-05,물류센터
SH2024-00282,SI2024-00282,2024-06-25,2024-06-26,1공장창고
SH2024-00283,SI2024-00283,2024-06-17,2024-06-18,1공장창고
SH2024-00284,SI2024-00284,2024-06-24,2024-06-25,물류센터
SH2024-00285,SI2024-00285,2024-06-24,2024-06-26,1공장창고
SH2024-00286,SI2024-00286,2024-06-03,2024-06-04,2공장창고
SH2024-00287,SI2024-00287,2024-06-11,2024-06-12,물류센터
SH2024-00288,SI2024-00288,2024-06-27,2024-06-28,2공장창고
SH2024-00289,SI2024-00289,2024-06-24,2024-06-26,1공장창고
SH2024-00290,SI2024-00290,2024-06-17,2024-06-18,2공장창고
SH2024-00291,SI2024-00291,2024-06-17,2024-06-18,물류센터
SH2024-00292,SI2024-00292,2024-06-03,2024-06-05,1공장창고
SH2024-00293,SI2024-00293,2024-06-17,2024-06-18,1공장창고
SH2024-00294,SI2024-00294,2024-06-17,2024-06-18,1공장창고
SH2024-00295,SI2024-00295,2024-06-24,2024-06-26,2공장창고
SH2024-00296,SI2024-00296,2024-06-03,2024-06-04,2공장창고
SH2024-00297,SI2024-00297,2024-07-08,2024-07-10,물류센터
SH2024-00298,SI2024-00298,2024-07-17,2024-07-18,2공장창고
SH2024-00299,SI2024-00299,2024-07-08,2024-07-10,2공장창고
SH2024-00300,SI2024-00300,2024-07-08,2024-07-09,1공장창고
SH2024-00301,SI2024-00301,2024-07-15,2024-07-16,물류센터
SH2024-00302,SI2024-00302,2024-07-29,2024-07-30,2공장창고
SH2024-00303,SI2024-00303,2024-07-12,2024-07-15,2공장창고
SH2024-00304,SI2024-00304,2024-07-17,2024-07-18,1공장창고
SH2024-00305,SI2024-00305,2024-07-15,2024-07-16,물류센터
SH2024-00306,SI2024-00306,2024-07-15,2024-07-16,물류센터
SH2024-00307,SI2024-00307,2024-07-22,2024-07-23,물류센터
SH2024-00308,SI2024-00308,2024-07-29,2024-07-31,1공장창고
SH2024-00309,SI2024-00309,2024-07-01,2024-07-03,1공장창고
SH2024-00310,SI2024-00310,2024-07-09,2024-07-10,물류센터
SH2024-00311,SI2024-00311,2024-07-29,2024-07-30,1공장창고
SH2024-00312,SI2024-00312,2024-07-23,2024-07-24,2공장창고
SH2024-00313,SI2024-00313,2024-07-24,2024-07-25,2공장창고
SH2024-00314,SI2024-00314,2024-08-26,2024-08-27,2공장창고
SH2024-00315,SI2024-00315,2024-08-19,2024-08-20,물류센터
SH2024-00316,SI2024-00316,2024-08-07,2024-08-09,2공장창고
SH2024-00317,SI2024-00317,2024-08-26,2024-08-27,물류센터
SH2024-00318,SI2024-00318,2024-08-21,2024-08-22,2공장창고
SH2024-00319,SI2024-00319,2024-08-19,2024-08-20,2공장창고
SH2024-00320,SI2024-00320,2024-08-26,2024-08-27,물류센터
SH2024-00321,SI2024-00321,2024-08-08,2024-08-09,물류센터
SH2024-00322,SI2024-00322,2024-08-05,2024-08-06,2공장창고
SH2024-00323,SI2024-00323,2024-08-13,2024-08-15,1공장창고
SH2024-00324,SI2024-00324,2024-08-26,2024-08-27,1공장창고
SH2024-00325,SI2024-00325,2024-08-12,2024-08-13,2공장창고
SH2024-00326,SI2024-00326,2024-08-16,2024-08-19,1공장창고
SH2024-00327,SI2024-00327,2024-08-06,2024-08-07,2공장창고
SH2024-00328,SI2024-00328,2024-08-15,2024-08-16,2공장창고
SH2024-00329,SI2024-00329,2024-08-08,2024-08-09,물류센터
SH2024-00330,SI2024-00330,2024-09-23,2024-09-24,물류센터
SH2024-00331,SI2024-00331,2024-09-24,2024-09-26,물류센터
SH2024-00332,SI2024-00332,2024-09-27,2024-09-30,2공장창고
SH2024-00333,SI2024-00333,2024-09-02,2024-09-03,1공장창고
SH2024-00334,SI2024-00334,2024-09-04,2024-09-05,물류센터
SH2024-00335,SI2024-00335,2024-09-24,2024-09-25,2공장창고
SH2024-00336,SI2024-00336,2024-09-09,2024-09-10,1공장창고
SH2024-00337,SI2024-00337,2024-09-24,2024-09-25,물류센터
SH2024-00338,SI2024-00338,2024-09-05,2024-09-09,물류센터
SH2024-00339,SI2024-00339,2024-09-09,2024-09-10,2공장창고
SH2024-00340,SI2024-00340,2024-09-30,2024-10-01,1공장창고
SH2024-00341,SI2024-00341,2024-09-30,2024-10-02,2공장창고
SH2024-00342,SI2024-00342,2024-09-16,2024-09-17,2공장창고
SH2024-00343,SI2024-00343,2024-09-20,2024-09-23,물류센터
SH2024-00344,SI2024-00344,2024-09-11,2024-09-12,1공장창고
SH2024-00345,SI2024-00345,2024-09-09,2024-09-11,물류센터
SH2024-00346,SI2024-00346,2024-09-17,2024-09-18,1공장창고
SH2024-00347,SI2024-00347,2024-09-23,2024-09-25,물류센터
SH2024-00348,SI2024-00348,2024-10-23,2024-10-24,1공장창고
SH2024-00349,SI2024-00349,2024-10-23,2024-10-25,2공장창고
SH2024-00350,SI2024-00350,2024-10-11,2024-10-14,물류센터
SH2024-00351,SI2024-00351,2024-10-14,2024-10-15,물류센터
SH2024-00352,SI2024-00352,2024-10-08,2024-10-09,2공장창고
SH2024-00353,SI2024-00353,2024-10-01,2024-10-02,물류센터
SH2024-00354,SI2024-00354,2024-10-14,2024-10-15,1공장창고
SH2024-00355,SI2024-00355,2024-10-10,2024-10-11,1공장창고
SH2024-00356,SI2024-00356,2024-10-10,2024-10-11,1공장창고
SH2024-00357,SI2024-00357,2024-10-23,2024-10-25,2공장창고
SH2024-00358,SI2024-00358,2024-10-17,2024-10-21,물류센터
SH2024-00359,SI2024-00359,2024-10-07,2024-10-09,물류센터
SH2024-00360,SI2024-00360,2024-10-14,2024-10-15,물류센터
SH2024-00361,SI2024-00361,2024-10-16,2024-10-17,1공장창고
SH2024-00362,SI2024-00362,2024-10-28,2024-10-29,물류센터
SH2024-00363,SI2024-00363,2024-11-26,2024-11-28,1공장창고
SH2024-00364,SI2024-00364,2024-11-18,2024-11-19,1공장창고
SH2024-00365,SI2024-00365,2024-11-15,2024-11-18,2공장창고
SH2024-00366,SI2024-00366,2024-11-20,2024-11-22,2공장창고
SH2024-00367,SI2024-00367,2024-11-18,2024-11-19,2공장창고
SH2024-00368,SI2024-00368,2024-11-22,2024-11-25,2공장창고
SH2024-00369,SI2024-00369,2024-11-20,2024-11-21,2공장창고
SH2024-00370,SI2024-00370,2024-11-18,2024-11-19,1공장창고
SH2024-00371,SI2024-00371,2024-11-18,2024-11-20,물류센터
SH2024-00372,SI2024-00372,2024-11-07,2024-11-11,1공장창고
SH2024-00373,SI2024-00373,2024-11-13,2024-11-14,2공장창고
SH2024-00374,SI2024-00374,2024-11-06,2024-11-07,2공장창고
SH2024-00375,SI2024-00375,2024-11-18,2024-11-19,물류센터
SH2024-00376,SI2024-00376,2024-11-18,2024-11-19,1공장창고
SH2024-00377,SI2024-00377,2024-10-31,2024-11-01,2공장창고
SH2024-00378,SI2024-00378,2024-11-18,2024-11-19,2공장창고
SH2024-00379,SI2024-00379,2024-11-26,2024-11-27,1공장창고
SH2024-00380,SI2024-00380,2024-11-04,2024-11-05,1공장창고
SH2024-00381,SI2024-00381,2024-12-09,2024-12-11,1공장창고
SH2024-00382,SI2024-00382,2024-12-09,2024-12-10,물류센터
SH2024-00383,SI2024-00383,2024-12-24,2024-12-25,1공장창고
SH2024-00384,SI2024-00384,2024-12-26,2024-12-30,2공장창고
SH2024-00385,SI2024-00385,2024-12-16,2024-12-17,2공장창고
SH2024-00386,SI2024-00386,2024-12-09,2024-12-10,1공장창고
SH2024-00387,SI2024-00387,2024-12-19,2024-12-20,물류센터
SH2024-00388,SI2024-00388,2024-12-16,2024-12-17,2공장창고
SH2024-00389,SI2024-00389,2024-12-02,2024-12-03,물류센터
SH2024-00390,SI2024-00390,2024-12-24,2024-12-25,물류센터
