account,txn_date,description,deposit_krw,withdrawal_krw,balance_krw
신한 110-***-4471,2024-11-18,매출채권 회수 (대성정공),574000000,0,23700000000
신한 110-***-4471,2024-11-18,매출채권 회수 (동아오토모티브),890000000,0,24590000000
신한 110-***-4471,2024-11-18,매출채권 회수 (Denso Kyushu),1303000000,0,25893000000
신한 110-***-4471,2024-11-18,매입채무 지급 (원재료),0,757000000,25136000000
신한 110-***-4471,2024-11-18,설비대금 지급 (P-C 라인 증설),0,1200000000,23936000000
신한 110-***-4471,2024-11-20,매입채무 지급 (원재료),0,1017000000,22919000000
신한 110-***-4471,2024-11-20,매입채무 지급 (원재료),0,817000000,22102000000
신한 110-***-4471,2024-11-20,차입금 이자,0,68000000,22034000000
신한 110-***-4471,2024-11-25,매출채권 회수 (만도),1392000000,0,23426000000
신한 110-***-4471,2024-11-25,매입채무 지급 (원재료),0,1291000000,22135000000
신한 110-***-4471,2024-11-25,급여 지급,0,1224000000,20911000000
신한 110-***-4471,2024-11-27,매출채권 회수 (SL미러텍),381000000,0,21292000000
신한 110-***-4471,2024-11-27,매출채권 회수 (세종테크),940000000,0,22232000000
신한 110-***-4471,2024-12-02,매출채권 회수 (세종테크),438000000,0,22670000000
신한 110-***-4471,2024-12-03,매출채권 회수 (Denso Kyushu),1605000000,0,24275000000
신한 110-***-4471,2024-12-05,매출채권 회수 (현대모비스),700000000,0,24975000000
신한 110-***-4471,2024-12-06,매출채권 회수 (만도),1195000000,0,26170000000
신한 110-***-4471,2024-12-06,매입채무 지급 (원재료),0,857000000,25313000000
신한 110-***-4471,2024-12-09,매출채권 회수 (만도),824000000,0,26137000000
신한 110-***-4471,2024-12-09,매입채무 지급 (원재료),0,1068000000,25069000000
신한 110-***-4471,2024-12-10,운영자금 대체 (한빛홀딩스),0,200000000,24869000000
신한 110-***-4471,2024-12-11,매입채무 지급 (원재료),0,1061000000,23808000000
신한 110-***-4471,2024-12-13,매입채무 지급 (원재료),0,751000000,23057000000
신한 110-***-4471,2024-12-16,매출채권 회수 (LG마그나),1543000000,0,24600000000
신한 110-***-4471,2024-12-16,매출채권 회수 (만도),861000000,0,25461000000
신한 110-***-4471,2024-12-16,매출채권 회수 (Denso Kyushu),570000000,0,26031000000
신한 110-***-4471,2024-12-16,매입채무 지급 (원재료),0,1314000000,24717000000
신한 110-***-4471,2024-12-16,매입채무 지급 (원재료),0,712000000,24005000000
신한 110-***-4471,2024-12-18,매출채권 회수 (Bosch Korea),1010000000,0,25015000000
신한 110-***-4471,2024-12-20,차입금 이자,0,63000000,24952000000
신한 110-***-4471,2024-12-23,매입채무 지급 (원재료),0,555000000,24397000000
신한 110-***-4471,2024-12-25,매입채무 지급 (원재료),0,773000000,23624000000
신한 110-***-4471,2024-12-25,급여 지급,0,1267000000,22357000000
신한 110-***-4471,2024-12-26,매출채권 회수 (HL만도터보),577000000,0,22934000000
신한 110-***-4471,2024-12-26,매입채무 지급 (원재료),0,357000000,22577000000
신한 110-***-4471,2024-12-27,"단기차입금 차입 (기업은행, 만기 2025-01-05)",5000000000,0,27577000000
신한 110-***-4471,2025-01-05,단기차입금 상환 (기업은행),0,5000000000,22577000000
